nohup: 忽略输入

Generating queries: 0it [00:00, ?it/s]
Generating queries: 1it [00:05,  5.09s/it]
Generating queries: 2it [00:09,  4.83s/it]
Generating queries: 3it [00:15,  5.22s/it]
Generating queries: 4it [00:20,  5.08s/it]
Generating queries: 5it [00:25,  5.27s/it]
Generating queries: 6it [00:30,  5.15s/it]
Generating queries: 7it [00:35,  4.98s/it]
Generating queries: 8it [00:43,  5.81s/it]
Generating queries: 9it [00:48,  5.73s/it]
Generating queries: 10it [00:54,  5.68s/it]
Generating queries: 11it [00:59,  5.48s/it]
Generating queries: 12it [01:04,  5.43s/it]
Generating queries: 13it [01:09,  5.36s/it]
Generating queries: 14it [01:15,  5.35s/it]
Generating queries: 15it [01:20,  5.29s/it]
Generating queries: 16it [01:25,  5.25s/it]
Generating queries: 17it [01:30,  5.16s/it]
Generating queries: 18it [01:35,  5.25s/it]
Generating queries: 19it [01:41,  5.30s/it]
Generating queries: 20it [01:47,  5.58s/it]
Generating queries: 21it [01:52,  5.52s/it]
Generating queries: 22it [01:57,  5.40s/it]
Generating queries: 23it [02:03,  5.47s/it]
Generating queries: 24it [02:08,  5.45s/it]
Generating queries: 25it [02:13,  5.30s/it]
Generating queries: 26it [02:18,  5.19s/it]
Generating queries: 27it [02:23,  5.12s/it]
Generating queries: 28it [02:29,  5.16s/it]
Generating queries: 29it [02:34,  5.21s/it]
Generating queries: 30it [02:40,  5.36s/it]
Generating queries: 31it [02:44,  5.06s/it]
Generating queries: 32it [02:49,  5.13s/it]
Generating queries: 33it [02:56,  5.61s/it]
Generating queries: 34it [03:01,  5.56s/it]
Generating queries: 35it [03:07,  5.52s/it]
Generating queries: 36it [03:14,  5.97s/it]
Generating queries: 37it [03:19,  5.68s/it]
Generating queries: 38it [03:24,  5.54s/it]
Generating queries: 39it [03:30,  5.74s/it]
Generating queries: 40it [03:35,  5.45s/it]
Generating queries: 41it [03:41,  5.54s/it]
Generating queries: 42it [03:47,  5.65s/it]
Generating queries: 43it [03:52,  5.61s/it]
Generating queries: 44it [03:58,  5.72s/it]
Generating queries: 45it [04:04,  5.85s/it]
Generating queries: 46it [04:11,  6.04s/it]
Generating queries: 47it [04:16,  5.79s/it]
Generating queries: 48it [04:22,  5.99s/it]
Generating queries: 49it [04:27,  5.65s/it]
Generating queries: 50it [04:32,  5.50s/it]
Generating queries: 51it [04:39,  5.72s/it]
Generating queries: 52it [04:45,  5.86s/it]
Generating queries: 53it [04:51,  6.03s/it]
Generating queries: 54it [04:56,  5.76s/it]
Generating queries: 55it [05:03,  5.92s/it]
Generating queries: 56it [05:08,  5.86s/it]
Generating queries: 57it [05:14,  5.77s/it]
Generating queries: 58it [05:19,  5.44s/it]
Generating queries: 59it [05:26,  6.11s/it]
Generating queries: 60it [05:31,  5.60s/it]
Generating queries: 61it [05:35,  5.28s/it]
Generating queries: 62it [05:40,  5.23s/it]
Generating queries: 63it [05:46,  5.34s/it]
Generating queries: 64it [05:51,  5.20s/it]
Generating queries: 65it [05:56,  5.24s/it]
Generating queries: 66it [06:02,  5.28s/it]
Generating queries: 67it [06:07,  5.36s/it]
Generating queries: 68it [06:12,  5.36s/it]
Generating queries: 69it [06:17,  5.22s/it]
Generating queries: 70it [06:23,  5.20s/it]
Generating queries: 71it [06:27,  5.10s/it]
